Module	Section	Sample Name	Source
Kallisto	all_sections	SRR2042590_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042590_kallisto.log
Kallisto	all_sections	SRR2042581_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042581_kallisto.log
Kallisto	all_sections	SRR2042586_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042586_kallisto.log
Kallisto	all_sections	SRR2042591_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042591_kallisto.log
Kallisto	all_sections	SRR2042595_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042595_kallisto.log
Kallisto	all_sections	SRR2042583_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042583_kallisto.log
Kallisto	all_sections	SRR2042588_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042588_kallisto.log
Kallisto	all_sections	SRR2042582_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042582_kallisto.log
Kallisto	all_sections	SRR2042596_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042596_kallisto.log
Kallisto	all_sections	SRR2042580_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042580_kallisto.log
Kallisto	all_sections	SRR2042593_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042593_kallisto.log
Kallisto	all_sections	SRR2042594_trimBoth	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/kallisto_logs/SRR2042594_kallisto.log
