Module	Section	Sample Name	Source
FastQC	all_sections	SRR2042586	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042586_fastqc.zip
FastQC	all_sections	SRR2042582	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042582_fastqc.zip
FastQC	all_sections	SRR2042580	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042580_fastqc.zip
FastQC	all_sections	SRR2042590	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042590_fastqc.zip
FastQC	all_sections	SRR2042584	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042584_fastqc.zip
FastQC	all_sections	SRR2042589	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042589_fastqc.zip
FastQC	all_sections	SRR2042585	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042585_fastqc.zip
FastQC	all_sections	SRR2042587	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042587_fastqc.zip
FastQC	all_sections	SRR2042588	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042588_fastqc.zip
FastQC	all_sections	SRR2042591	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042591_fastqc.zip
FastQC	all_sections	SRR2042583	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042583_fastqc.zip
FastQC	all_sections	SRR2042581	/vscmnt/gent_kyukon_data/_kyukon_data_gent/vo/000/gvo00095/Courses/AHTA/Group11/RNAseq/1_fastqc/SRR2042581_fastqc.zip
